Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_PK,Standard_PKatt,Unnamed: 16_level_0_Matches,Standard_FK,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,S_t,S_t.1,S_t.2,S_t.3,S_t.4,S_t.5,S_t.6,S_t.7,S_t.8,S_t.9,S_t.10,S_t.11,E_x,E_x.1,E_x.2,E_x.3,E_x.4,U_n.5
2016-2017,Ligue1,Monaco,Radamel Falcao,co COL,FW,30.0,21.4,21.0,80.0,38.0,47.5,3.74,1.77,0.21,0.45,,4.0,4.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,João Moutinho,pt POR,MF,29.0,19.8,2.0,18.0,5.0,27.8,0.91,0.25,0.11,0.4,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Kylian Mbappé,fr FRA,"FW,MF",17.0,16.6,15.0,52.0,36.0,69.2,3.12,2.16,0.29,0.42,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Almamy Touré,ml MLI,DF,20.0,12.0,0.0,6.0,4.0,66.7,0.5,0.33,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Andrea Raggi,it ITA,DF,32.0,10.7,0.0,4.0,2.0,50.0,0.37,0.19,0.0,0.0,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Nabil Dirar,ma MAR,"MF,DF",30.0,9.7,1.0,13.0,5.0,38.5,1.34,0.51,0.08,0.2,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Guido Carrillo,ar ARG,FW,25.0,6.6,7.0,20.0,9.0,45.0,3.01,1.35,0.35,0.78,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Gabriel Boschilia,br BRA,"MF,FW",20.0,4.9,6.0,20.0,12.0,60.0,4.12,2.47,0.3,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Abdou Diallo,sn SEN,DF,20.0,4.3,0.0,2.0,0.0,0.0,0.46,0.0,0.0,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Adama Traoré,ml MLI,MF,21.0,3.1,2.0,6.0,4.0,66.7,1.94,1.29,0.33,0.5,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Kévin N'Doram,fr FRA,MF,20.0,3.6,0.0,1.0,0.0,0.0,0.28,0.0,0.0,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Corentin Jean,fr FRA,FW,21.0,1.1,0.0,1.0,0.0,0.0,0.89,0.0,0.0,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Ivan Cavaleiro,pt POR,FW,22.0,1.1,0.0,2.0,0.0,0.0,1.84,0.0,0.0,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Jorge,br BRA,DF,20.0,1.0,1.0,4.0,3.0,75.0,3.96,2.97,0.25,0.33,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Morgan De Sanctis,it ITA,GK,39.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Marcel Tisserand,cd COD,DF,23.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ligue1,Monaco,Seydou Sy,sn SEN,GK,20.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
