Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Unnamed: 17_level_0_Matches,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches,S_e,L_e,T_e,U_n,U_n.1,U_n.2,U_n.3,U_n.4,P_e,P_e.1,P_e.2,P_e.3,P_e.4,P_e.5,P_e.6,P_e.7,P_e.8,P_e.9,P_e.10,P_e.11,P_e.12,A_e,A_e.1,A_e.2,U_n.5
2019-2020,SeriaA,Atalanta,Duván Zapata,co COL,FW,28.0,22.5,1.0,0.0,0.0,36.0,46.0,12.0,33.0,2.0,3.0,1.0,0.0,0.0,,43.0,51.0,45.0,53.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Josip Iličić,si SVN,"FW,MF",31.0,18.5,1.0,1.0,0.0,11.0,59.0,3.0,58.0,9.0,19.0,2.0,0.0,0.0,,81.0,3.0,19.0,13.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Timothy Castagne,be BEL,DF,23.0,19.7,4.0,0.0,0.0,18.0,8.0,5.0,60.0,17.0,20.0,1.0,0.0,0.0,,95.0,27.0,19.0,58.7,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Ruslan Malinovskyi,ua UKR,"MF,FW",26.0,17.1,7.0,1.0,1.0,32.0,56.0,3.0,90.0,5.0,14.0,3.0,0.0,0.0,,93.0,16.0,21.0,43.2,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Mattia Caldara,it ITA,DF,25.0,10.7,1.0,0.0,0.0,20.0,7.0,1.0,2.0,30.0,11.0,0.0,0.0,0.0,,80.0,31.0,16.0,66.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Luis Muriel,co COL,FW,28.0,14.0,1.0,0.0,0.0,28.0,27.0,3.0,40.0,4.0,9.0,1.0,1.0,0.0,,50.0,29.0,39.0,42.6,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Andrea Masiello,it ITA,DF,33.0,6.0,1.0,0.0,0.0,10.0,1.0,0.0,2.0,10.0,4.0,0.0,0.0,0.0,,26.0,9.0,8.0,52.9,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Marco Sportiello,it ITA,GK,27.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,2.0,0.0,100.0,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Simon Kjær,dk DEN,DF,30.0,3.2,2.0,0.0,0.0,13.0,1.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,,20.0,8.0,10.0,44.4,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,SeriaA,Atalanta,Bosko Sutalo,hr CRO,DF,19.0,3.1,1.0,0.0,0.0,8.0,4.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,,22.0,11.0,7.0,61.1,Matches,,,,,,,,,,,,,,,,,,,,,,,,,
